PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,TEAM
T.J. McConnell,10,2,15.5,5.5,0.6,2.0,2.6,2.3,0.60,0.00,0.6,1.3,3.8,PHI
Amir Johnson,8,1,11.8,3.3,1.8,1.1,2.9,1.1,0.25,0.13,0.4,1.3,3.0,PHI
Furkan Korkmaz,1,0,2.0,3.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,1.0,0.0,PHI
Markelle Fultz,3,0,7.7,1.7,0.0,1.0,1.0,1.7,0.67,0.00,0.3,1.3,5.0,PHI
Justin Anderson,7,0,4.7,1.1,0.1,1.1,1.3,0.0,0.14,0.00,0.3,1.1,0.0,PHI
Jerryd Bayless,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,PHI
Richaun Holmes,3,0,3.7,0.0,0.0,0.3,0.3,0.3,0.00,0.00,0.0,1.0,0.0,PHI
Goran Dragic,5,5,31.2,18.6,0.6,2.0,2.6,4.6,1.00,0.00,3.0,3.0,1.5,MIA
Dwyane Wade,5,0,25.4,16.6,0.6,3.6,4.2,3.6,1.40,0.20,2.2,2.2,1.6,MIA
Kelly Olynyk,5,0,29.2,12.8,1.4,3.2,4.6,3.8,1.40,1.20,1.6,3.8,2.4,MIA
James Johnson,5,5,32.2,12.4,0.6,5.4,6.0,4.8,1.20,1.20,2.0,3.4,2.4,MIA
Justise Winslow,5,0,25.0,9.8,1.4,5.2,6.6,2.6,0.80,0.80,1.6,3.4,1.6,MIA
Josh Richardson,5,5,26.0,8.4,0.8,2.2,3.0,2.8,2.20,1.00,1.0,3.4,2.8,MIA
Tyler Johnson,5,5,16.2,8.0,0.2,1.4,1.6,0.8,0.40,0.00,0.4,2.8,2.0,MIA
Wayne Ellington,5,0,20.2,7.8,0.2,1.4,1.6,0.6,0.40,0.40,0.6,1.8,1.0,MIA
Hassan Whiteside,5,5,15.4,5.2,2.0,4.0,6.0,0.2,0.00,1.20,2.4,3.2,0.1,MIA
Bam Adebayo,5,0,15.4,3.4,1.8,2.2,4.0,0.0,0.00,0.40,0.4,1.6,0.0,MIA
Rodney McGruder,4,0,4.0,0.5,0.0,1.0,1.0,0.0,0.00,0.00,0.0,0.8,0.0,MIA
Luke Babbitt,2,0,1.5,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,MIA
Jayson Tatum,19,19,35.9,18.5,0.5,3.8,4.4,2.7,1.21,0.53,2.2,2.6,1.3,BOS
Jaylen Brown,18,15,32.4,18.0,0.9,3.9,4.8,1.4,0.78,0.56,1.3,3.2,1.1,BOS
Terry Rozier,19,19,36.6,16.5,0.4,4.8,5.3,5.7,1.26,0.32,1.2,2.0,5.0,BOS
Al Horford,19,19,35.7,15.7,1.7,6.6,8.3,3.3,1.00,1.16,1.7,2.1,2.0,BOS
Marcus Morris,19,4,29.6,12.4,1.1,4.4,5.4,1.1,0.37,0.26,1.0,3.2,1.1,BOS
Marcus Smart,15,4,29.9,9.8,0.9,2.8,3.7,5.3,1.73,0.67,2.4,2.9,2.2,BOS
Aron Baynes,19,12,20.5,6.0,2.4,3.8,6.2,1.0,0.21,0.58,0.4,2.3,2.4,BOS
Greg Monroe,11,0,9.5,4.8,1.3,1.9,3.2,0.5,0.18,0.18,1.3,0.8,0.4,BOS
Shane Larkin,11,0,14.0,3.7,0.1,0.9,1.0,1.8,0.45,0.00,0.5,1.4,3.3,BOS
Semi Ojeleye,17,3,13.5,1.9,0.2,1.4,1.6,0.1,0.18,0.00,0.1,1.2,1.0,BOS
Abdel Nader,11,0,3.0,1.1,0.1,0.2,0.3,0.3,0.09,0.09,0.2,0.2,1.5,BOS
Guerschon Yabusele,12,0,4.0,0.3,0.3,0.7,0.9,0.3,0.17,0.00,0.0,0.8,0.0,BOS
Giannis Antetokounmpo,7,7,40.0,25.7,1.1,8.4,9.6,6.3,1.43,0.86,2.4,4.0,2.6,MIL
Khris Middleton,7,7,39.3,24.7,0.1,5.0,5.1,3.1,0.86,0.71,2.3,4.3,1.4,MIL
Eric Bledsoe,7,7,32.1,13.6,0.4,3.1,3.6,3.7,1.00,0.86,2.1,2.7,1.7,MIL
Jabari Parker,7,0,23.9,10.0,1.1,5.0,6.1,1.4,1.00,0.57,0.9,2.1,1.7,MIL
John Henson,2,2,37.0,9.5,2.0,4.0,6.0,2.5,0.00,3.50,2.0,2.0,1.3,MIL
Malcolm Brogdon,7,5,26.6,8.7,0.4,3.0,3.4,2.4,0.14,0.00,1.7,2.0,1.4,MIL
Shabazz Muhammad,4,0,7.3,6.3,0.0,1.0,1.0,0.0,0.50,0.25,0.5,0.5,0.0,MIL
Thon Maker,6,2,21.7,5.5,1.0,2.8,3.8,0.8,0.33,1.83,0.7,2.8,1.3,MIL
Tony Snell,7,2,19.1,2.7,0.1,1.7,1.9,0.6,0.43,0.57,0.4,1.4,1.3,MIL
Sterling Brown,3,0,4.3,2.3,0.3,0.3,0.7,0.0,0.33,0.00,0.0,0.7,0.0,MIL
Jason Terry,3,0,14.7,2.0,0.3,0.3,0.7,0.7,0.33,0.00,0.3,0.7,2.0,MIL
Brandon Jennings,1,0,5.0,2.0,0.0,0.0,0.0,0.0,0.00,0.00,1.0,0.0,0.0,MIL
Matthew Dellavedova,6,0,13.0,2.0,0.2,0.7,0.8,2.7,0.33,0.00,1.0,1.0,2.7,MIL
Tyler Zeller,7,3,9.4,1.6,0.3,1.7,2.0,0.4,0.57,0.43,0.1,1.6,3.0,MIL
